grid_index,q_bohr_inv,theta_deg,omega_eV,S_q_theta_omega
0,0.05,0.0,0.0,9.909927611709374e-07
0,0.05,0.0,0.0400200100050025,9.96792456578244e-07
0,0.05,0.0,0.080040020010005,1.002644190806238e-06
0,0.05,0.0,0.12006003001500751,1.0085485967511737e-06
0,0.05,0.0,0.16008004002001,1.014506317054874e-06
0,0.05,0.0,0.2001000500250125,1.0205180042866731e-06
0,0.05,0.0,0.24012006003001501,1.0265843211293638e-06
0,0.05,0.0,0.2801400700350175,1.0327059405692314e-06
0,0.05,0.0,0.32016008004002,1.038883546090302e-06
0,0.05,0.0,0.3601800900450225,1.045117831872888e-06
0,0.05,0.0,0.400200100050025,1.0514095029965653e-06
0,0.05,0.0,0.4402201100550275,1.0577592756476692e-06
0,0.05,0.0,0.48024012006003003,1.0641678773314524e-06
0,0.05,0.0,0.5202601300650325,1.0706360470890022e-06
0,0.05,0.0,0.560280140070035,1.0771645357190546e-06
0,0.05,0.0,0.6003001500750375,1.0837541060048275e-06
0,0.05,0.0,0.64032016008004,1.090405532946002e-06
0,0.05,0.0,0.6803401700850426,1.0971196039959902e-06
0,0.05,0.0,0.720360180090045,1.1038971193046263e-06
0,0.05,0.0,0.7603801900950475,1.1107388919664226e-06
0,0.05,0.0,0.80040020010005,1.11764574827454e-06
0,0.05,0.0,0.8404202101050525,1.124618527980621e-06
0,0.05,0.0,0.880440220110055,1.1316580845606449e-06
0,0.05,0.0,0.9204602301150575,1.1387652854869643e-06
0,0.05,0.0,0.9604802401200601,1.145941012506687e-06
0,0.05,0.0,1.0005002501250626,1.1531861619265735e-06
0,0.05,0.0,1.040520260130065,1.1605016449046293e-06
0,0.05,0.0,1.0805402701350675,1.1678883877485721e-06
0,0.05,0.0,1.12056028014007,1.1753473322213555e-06
0,0.05,0.0,1.1605802901450726,1.1828794358539468e-06
0,0.05,0.0,1.200600300150075,1.1904856722655596e-06
0,0.05,0.0,1.2406203101550775,1.1981670314915325e-06
0,0.05,0.0,1.28064032016008,1.2059245203190858e-06
0,0.05,0.0,1.3206603301650826,1.2137591626311499e-06
0,0.05,0.0,1.360680340170085,1.2216719997585096e-06
0,0.05,0.0,1.4007003501750874,1.2296640908404816e-06
0,0.05,0.0,1.44072036018009,1.2377365131943725e-06
0,0.05,0.0,1.4807403701850925,1.2458903626939586e-06
0,0.05,0.0,1.520760380190095,1.2541267541572399e-06
0,0.05,0.0,1.5607803901950974,1.2624468217437393e-06
0,0.05,0.0,1.6008004002001,1.270851719361601e-06
0,0.05,0.0,1.6408204102051025,1.2793426210847873e-06
0,0.05,0.0,1.680840420210105,1.287920721580641e-06
0,0.05,0.0,1.7208604302151076,1.2965872365481308e-06
0,0.05,0.0,1.76088044022011,1.3053434031670665e-06
0,0.05,0.0,1.8009004502251125,1.314190480558618e-06
0,0.05,0.0,1.840920460230115,1.3231297502574531e-06
0,0.05,0.0,1.8809404702351176,1.3321625166958428e-06
0,0.05,0.0,1.9209604802401201,1.34129010770007e-06
0,0.05,0.0,1.9609804902451224,1.3505138749995147e-06
0,0.05,0.0,2.001000500250125,1.359835194748783e-06
0,0.05,0.0,2.0410205102551275,1.3692554680632604e-06
0,0.05,0.0,2.08104052026013,1.3787761215684977e-06
0,0.05,0.0,2.1210605302651326,1.3883986079638314e-06
0,0.05,0.0,2.161080540270135,1.3981244066006628e-06
0,0.05,0.0,2.2011005502751373,1.4079550240758516e-06
0,0.05,0.0,2.24112056028014,1.417891994840652e-06
0,0.05,0.0,2.2811405702851424,1.4279368818256858e-06
0,0.05,0.0,2.321160580290145,1.4380912770824193e-06
0,0.05,0.0,2.3611805902951475,1.4483568024416597e-06
0,0.05,0.0,2.40120060030015,1.4587351101895924e-06
0,0.05,0.0,2.4412206103051526,1.4692278837618755e-06
0,0.05,0.0,2.481240620310155,1.4798368384563737e-06
0,0.05,0.0,2.5212606303151577,1.4905637221651016e-06
0,0.05,0.0,2.56128064032016,1.501410316125954e-06
0,0.05,0.0,2.6013006503251623,1.5123784356948708e-06
0,0.05,0.0,2.641320660330165,1.5234699311390455e-06
0,0.05,0.0,2.6813406703351674,1.5346866884518634e-06
0,0.05,0.0,2.72136068034017,1.5460306301902358e-06
0,0.05,0.0,2.7613806903451725,1.557503716335053e-06
0,0.05,0.0,2.801400700350175,1.5691079451754845e-06
0,0.05,0.0,2.8414207103551776,1.5808453542178899e-06
0,0.05,0.0,2.88144072036018,1.5927180211201267e-06
0,0.05,0.0,2.9214607303651827,1.6047280646520818e-06
0,0.05,0.0,2.961480740370185,1.6168776456832607e-06
0,0.05,0.0,3.0015007503751874,1.629168968198323e-06
0,0.05,0.0,3.04152076038019,1.6416042803414739e-06
0,0.05,0.0,3.0815407703851925,1.654185875490657e-06
0,0.05,0.0,3.121560780390195,1.666916093362517e-06
0,0.05,0.0,3.1615807903951976,1.6797973211491666e-06
0,0.05,0.0,3.2016008004002,1.692831994687803e-06
0,0.05,0.0,3.2416208104052027,1.7060225996642557e-06
0,0.05,0.0,3.281640820410205,1.7193716728516302e-06
0,0.05,0.0,3.3216608304152073,1.7328818033851922e-06
0,0.05,0.0,3.36168084042021,1.7465556340747425e-06
0,0.05,0.0,3.4017008504252124,1.7603958627557333e-06
0,0.05,0.0,3.441720860430215,1.774405243680453e-06
0,0.05,0.0,3.4817408704352175,1.7885865889506555e-06
0,0.05,0.0,3.52176088044022,1.8029427699930343e-06
0,0.05,0.0,3.5617808904452226,1.817476719079046e-06
0,0.05,0.0,3.601800900450225,1.8321914308906016e-06
0,0.05,0.0,3.6418209104552277,1.847089964133218e-06
0,0.05,0.0,3.68184092046023,1.8621754431983075e-06
0,0.05,0.0,3.7218609304652324,1.8774510598763092e-06
0,0.05,0.0,3.761880940470235,1.8929200751224668e-06
0,0.05,0.0,3.8019009504752375,1.9085858208771086e-06
0,0.05,0.0,3.8419209604802402,1.924451701942381e-06
0,0.05,0.0,3.8819409704852426,1.940521197917442e-06
0,0.05,0.0,3.921960980490245,1.9567978651942135e-06
0,0.05,0.0,3.9619809904952477,1.9732853390158926e-06
0,0.05,0.0,4.00200100050025,1.989987335600469e-06
0,0.05,0.0,4.042021010505253,2.006907654331645e-06
0,0.05,0.0,4.082041020510255,2.024050180019597e-06
0,0.05,0.0,4.122061030515257,2.041418885234165e-06
0,0.05,0.0,4.16208104052026,2.0590178327131407e-06
0,0.05,0.0,4.202101050525263,2.0768511778484185e-06
0,0.05,0.0,4.242121060530265,2.0949231712529494e-06
0,0.05,0.0,4.282141070535268,2.113238161411494e-06
0,0.05,0.0,4.32216108054027,2.1318005974183432e-06
0,0.05,0.0,4.362181090545272,2.1506150318052876e-06
0,0.05,0.0,4.402201100550275,2.1696861234632723e-06
0,0.05,0.0,4.442221110555278,2.1890186406613138e-06
0,0.05,0.0,4.48224112056028,2.2086174641663947e-06
0,0.05,0.0,4.5222611305652824,2.228487590468275e-06
0,0.05,0.0,4.562281140570285,2.248634135113219e-06
0,0.05,0.0,4.602301150575287,2.269062336150949e-06
0,0.05,0.0,4.64232116058029,2.289777557699205e-06
0,0.05,0.0,4.682341170585293,2.310785293630575e-06
0,0.05,0.0,4.722361180590295,2.332091171386397e-06
0,0.05,0.0,4.762381190595297,2.3537009559228206e-06
0,0.05,0.0,4.8024012006003,2.3756205537942697e-06
0,0.05,0.0,4.842421210605303,2.3978560173798493e-06
0,0.05,0.0,4.882441220610305,2.420413549258453e-06
0,0.05,0.0,4.9224612306153075,2.4432995067386103e-06
0,0.05,0.0,4.96248124062031,2.4665204065493798e-06
0,0.05,0.0,5.002501250625312,2.4900829296988906e-06
0,0.05,0.0,5.042521260630315,2.5139939265074415e-06
0,0.05,0.0,5.082541270635318,2.538260421822387e-06
0,0.05,0.0,5.12256128064032,2.5628896204223887e-06
0,0.05,0.0,5.162581290645322,2.587888912618952e-06
0,0.05,0.0,5.202601300650325,2.6132658800635583e-06
0,0.05,0.0,5.242621310655328,2.6390283017690912e-06
0,0.05,0.0,5.28264132066033,2.66518416035468e-06
0,0.05,0.0,5.3226613306653325,2.691741648523516e-06
0,0.05,0.0,5.362681340670335,2.718709175783672e-06
0,0.05,0.0,5.402701350675337,2.7460953754224235e-06
0,0.05,0.0,5.44272136068034,2.773909111745115e-06
0,0.05,0.0,5.482741370685343,2.802159487590128e-06
0,0.05,0.0,5.522761380690345,2.830855852132117e-06
0,0.05,0.0,5.562781390695347,2.860007808986246e-06
0,0.05,0.0,5.60280140070035,2.8896252246268174e-06
0,0.05,0.0,5.642821410705353,2.919718237134392e-06
0,0.05,0.0,5.682841420710355,2.950297265286124e-06
0,0.05,0.0,5.722861430715358,2.9813730180049146e-06
0,0.05,0.0,5.76288144072036,3.01295650418366e-06
0,0.05,0.0,5.802901450725362,3.0450590429018044e-06
0,0.05,0.0,5.8429214607303654,3.0776922740522555e-06
0,0.05,0.0,5.882941470735368,3.1108681693976724e-06
0,0.05,0.0,5.92296148074037,3.1445990440761477e-06
0,0.05,0.0,5.962981490745372,3.1788975685773515e-06
0,0.05,0.0,6.003001500750375,3.2137767812113085e-06
0,0.05,0.0,6.043021510755377,3.249250101093221e-06
0,0.05,0.0,6.08304152076038,3.285331341668949e-06
0,0.05,0.0,6.123061530765383,3.322034724807118e-06
0,0.05,0.0,6.163081540770385,3.3593748954852614e-06
