-148.4375,128.9062,-113.2812,-74.2188
-62.5,156.25,-93.75,-31.25
-250.0,125.0,-125.0,-125.0
-437.5,218.75,-31.25,-93.75
-328.125,164.0625,-7.8125,-85.9375
-429.6875,238.2812,-97.6562,-152.3438
-39.0625,58.5938,-199.2188,-35.1562
-93.75,78.125,-234.375,-109.375
-179.6875,113.2812,-222.6562,-27.3438
-289.0625,183.5938,-74.2188,-160.1562
-218.75,140.625,-46.875,-171.875
-343.75,203.125,-109.375,-234.375
-296.875,242.1875,-242.1875,-39.0625
-406.25,171.875,-203.125,-15.625
-242.1875,207.0312,-128.9062,-58.5938
-484.375,148.4375,-85.9375,-195.3125
-460.9375,160.1562,-144.5312,-230.4688
-390.625,195.3125,-164.0625,-179.6875
-125.0,187.5,-187.5,-187.5
-85.9375,222.6562,-207.0312,-167.9688
-171.875,179.6875,-179.6875,-101.5625
-398.4375,3.9062,-238.2812,-199.2188
-312.5,31.25,-218.75,-156.25
-453.125,101.5625,-195.3125,-148.4375
-187.5,93.75,-156.25,-218.75
-78.125,39.0625,-132.8125,-210.9375
-46.875,117.1875,-117.1875,-164.0625
-140.625,70.3125,-39.0625,-54.6875
-210.9375,35.1562,-19.5312,-105.4688
-156.25,46.875,-78.125,-140.625
